"wsg","species","habitat_type","unit","link_value","ref_value","diff_pct","taxonomy_id","class","mechanism","status","refs"
"PARS","BT","rearing_stream","km",1922.8,1790.78,7.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"PARS","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"PARS","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"PARS","KO","spawning","km",3.83,,,,"NOT_APPLICABLE",,,
"PARS","KO","rearing","km",12.54,,,,"NOT_APPLICABLE",,,
"PARS","KO","lake_rearing","ha",376.93,,,,"NOT_APPLICABLE",,,
"PARS","KO","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"PARS","KO","rearing_stream","km",0,,,,"NOT_APPLICABLE",,,
"PARS","KO","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PARS","KO","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PARS","RB","spawning","km",1557.21,,,,"NOT_APPLICABLE",,,
"PARS","RB","rearing","km",2462.06,,,,"NOT_APPLICABLE",,,
"PARS","RB","lake_rearing","ha",1839.2,,,,"NOT_APPLICABLE",,,
"PARS","RB","wetland_rearing","ha",7795.89,,,,"NOT_APPLICABLE",,,
"PARS","RB","rearing_stream","km",1789.54,,,,"NOT_APPLICABLE",,,
"PARS","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PARS","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PARS","GR","spawning","km",983.86,,,,"NOT_APPLICABLE",,,
"PARS","GR","rearing","km",1366.27,,,,"NOT_APPLICABLE",,,
"PARS","GR","lake_rearing","ha",1565.81,,,,"NOT_APPLICABLE",,,
"PARS","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"PARS","GR","rearing_stream","km",697.37,,,,"NOT_APPLICABLE",,,
"PARS","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PARS","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PCEA","BT","spawning","km",4372.95,918.48,376.1,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"PCEA","BT","rearing","km",8711.28,1999.83,335.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"PCEA","BT","lake_rearing","ha",172904.56,172864.72,0,,"WITHIN_TOLERANCE",,"CLOSED",
"PCEA","BT","wetland_rearing","ha",999.46,669.14,49.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"PCEA","BT","rearing_stream","km",7680.28,1300.5,490.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"PCEA","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"PCEA","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"PCEA","RB","spawning","km",3757.26,,,,"NOT_APPLICABLE",,,
"PCEA","RB","rearing","km",7627.13,,,,"NOT_APPLICABLE",,,
"PCEA","RB","lake_rearing","ha",172899.18,,,,"NOT_APPLICABLE",,,
"PCEA","RB","wetland_rearing","ha",985.31,,,,"NOT_APPLICABLE",,,
"PCEA","RB","rearing_stream","km",6686.98,,,,"NOT_APPLICABLE",,,
"PCEA","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PCEA","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PCEA","GR","spawning","km",2033.31,,,,"NOT_APPLICABLE",,,
"PCEA","GR","rearing","km",2846.29,,,,"NOT_APPLICABLE",,,
"PCEA","GR","lake_rearing","ha",172752.2,,,,"NOT_APPLICABLE",,,
"PCEA","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"PCEA","GR","rearing_stream","km",2391.8,,,,"NOT_APPLICABLE",,,
"PCEA","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"PCEA","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"TOOD","BT","spawning","km",2330.46,1107.46,110.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"TOOD","BT","rearing","km",4203.92,1841.87,128.2,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"TOOD","BT","lake_rearing","ha",2542.37,2701.6,-5.9,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"TOOD","BT","wetland_rearing","ha",2477.21,2393.95,3.5,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"TOOD","BT","rearing_stream","km",3607.61,1438.5,150.8,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"TOOD","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"TOOD","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"TOOD","RB","spawning","km",2237.38,,,,"NOT_APPLICABLE",,,
"TOOD","RB","rearing","km",4136,,,,"NOT_APPLICABLE",,,
"TOOD","RB","lake_rearing","ha",2486.77,,,,"NOT_APPLICABLE",,,
"TOOD","RB","wetland_rearing","ha",2453.91,,,,"NOT_APPLICABLE",,,
"TOOD","RB","rearing_stream","km",3545.86,,,,"NOT_APPLICABLE",,,
"TOOD","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"TOOD","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"TOOD","GR","spawning","km",1269.57,,,,"NOT_APPLICABLE",,,
"TOOD","GR","rearing","km",1791.04,,,,"NOT_APPLICABLE",,,
"TOOD","GR","lake_rearing","ha",1861.04,,,,"NOT_APPLICABLE",,,
"TOOD","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"TOOD","GR","rearing_stream","km",1314.96,,,,"NOT_APPLICABLE",,,
"TOOD","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"TOOD","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"UOMI","BT","spawning","km",3573.72,897.09,298.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"UOMI","BT","rearing","km",7912.87,1490.25,431,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"UOMI","BT","lake_rearing","ha",1386.36,1520.19,-8.8,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"UOMI","BT","wetland_rearing","ha",2876.9,2430.68,18.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"UOMI","BT","rearing_stream","km",6843.27,1189.18,475.5,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"UOMI","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"UOMI","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"UOMI","RB","spawning","km",3338.22,,,,"NOT_APPLICABLE",,,
"UOMI","RB","rearing","km",8082.34,,,,"NOT_APPLICABLE",,,
"UOMI","RB","lake_rearing","ha",964.45,,,,"NOT_APPLICABLE",,,
"UOMI","RB","wetland_rearing","ha",2789.64,,,,"NOT_APPLICABLE",,,
"UOMI","RB","rearing_stream","km",7007.01,,,,"NOT_APPLICABLE",,,
"UOMI","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"UOMI","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"UOMI","GR","spawning","km",1654.91,,,,"NOT_APPLICABLE",,,
"UOMI","GR","rearing","km",2472.99,,,,"NOT_APPLICABLE",,,
"UOMI","GR","lake_rearing","ha",868.57,,,,"NOT_APPLICABLE",,,
"UOMI","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"UOMI","GR","rearing_stream","km",1967.03,,,,"NOT_APPLICABLE",,,
"UOMI","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"UOMI","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
