config,wsg,species,habitat_type,unit,link_value,bcfishpass_value,diff_pct
default,KISP,CH,rearing_lake_centerline,km,0,0,NA
default,KISP,CH,rearing_wetland_centerline,km,0,0,NA
default,KISP,CM,spawning,km,1174.69,1159.65,1.3
default,KISP,CM,rearing,km,0,0,NA
default,KISP,CM,lake_rearing,ha,0,0,NA
default,KISP,CM,wetland_rearing,ha,0,0,NA
default,KISP,CM,rearing_stream,km,0,0,NA
default,KISP,CM,rearing_lake_centerline,km,0,0,NA
default,KISP,CM,rearing_wetland_centerline,km,0,0,NA
default,KISP,CO,spawning,km,1128.39,1107.69,1.87
default,KISP,CO,rearing,km,1314.55,1266.54,3.79
default,KISP,CO,lake_rearing,ha,4086.04,0,NA
default,KISP,CO,wetland_rearing,ha,2068.27,2301.27,-10.12
default,KISP,CO,rearing_stream,km,873.26,827.7,5.5
default,KISP,CO,rearing_lake_centerline,km,0,0,NA
default,KISP,CO,rearing_wetland_centerline,km,0,0,NA
default,KISP,PK,spawning,km,1178.95,1159.65,1.66
default,KISP,PK,rearing,km,0,0,NA
default,KISP,PK,lake_rearing,ha,0,0,NA
default,KISP,PK,wetland_rearing,ha,0,0,NA
default,KISP,PK,rearing_stream,km,0,0,NA
default,KISP,PK,rearing_lake_centerline,km,0,0,NA
default,KISP,PK,rearing_wetland_centerline,km,0,0,NA
default,KISP,SK,spawning,km,12.85,7.14,79.97
default,KISP,SK,rearing,km,98.35,98.35,0
default,KISP,SK,lake_rearing,ha,2750.95,2750.95,0
default,KISP,SK,wetland_rearing,ha,0,0,NA
default,KISP,SK,rearing_stream,km,0,0,NA
default,KISP,SK,rearing_lake_centerline,km,0,0,NA
default,KISP,SK,rearing_wetland_centerline,km,0,0,NA
default,KISP,ST,spawning,km,906.92,902.58,0.48
default,KISP,ST,rearing,km,1472.75,1347.39,9.3
default,KISP,ST,lake_rearing,ha,2989.96,0,NA
default,KISP,ST,wetland_rearing,ha,2407.07,1061.19,126.83
default,KISP,ST,rearing_stream,km,1027.7,904.84,13.58
default,KISP,ST,rearing_lake_centerline,km,0,0,NA
default,KISP,ST,rearing_wetland_centerline,km,0,0,NA
default,KISP,RB,spawning,km,1258.03,0,NA
default,KISP,RB,rearing,km,1898.39,0,NA
default,KISP,RB,lake_rearing,ha,4054.93,0,NA
default,KISP,RB,wetland_rearing,ha,2482.15,0,NA
default,KISP,RB,rearing_stream,km,1453.34,0,NA
default,KISP,RB,rearing_lake_centerline,km,0,0,NA
default,KISP,RB,rearing_wetland_centerline,km,0,0,NA
default,KOTL,BT,spawning,km,1030.67,1008.36,2.21
default,KOTL,BT,rearing,km,1582.87,1931.05,-18.03
default,KOTL,BT,lake_rearing,ha,44869.66,44621.44,0.56
default,KOTL,BT,wetland_rearing,ha,1914.45,1333.19,43.6
default,KOTL,BT,rearing_stream,km,1248.19,1187.03,5.15
default,KOTL,BT,rearing_lake_centerline,km,0,0,NA
default,KOTL,BT,rearing_wetland_centerline,km,0,0,NA
default,KOTL,WCT,spawning,km,1135.77,1129.36,0.57
default,KOTL,WCT,rearing,km,1595.62,1495.35,6.71
default,KOTL,WCT,lake_rearing,ha,45087.1,0,NA
default,KOTL,WCT,wetland_rearing,ha,1966.03,899.27,118.63
default,KOTL,WCT,rearing_stream,km,1248.38,1155.48,8.04
default,KOTL,WCT,rearing_lake_centerline,km,0,0,NA
default,KOTL,WCT,rearing_wetland_centerline,km,0,0,NA
default,KOTL,RB,spawning,km,1030.06,0,NA
default,KOTL,RB,rearing,km,1490.9,0,NA
default,KOTL,RB,lake_rearing,ha,44869.66,0,NA
default,KOTL,RB,wetland_rearing,ha,1914.45,0,NA
default,KOTL,RB,rearing_stream,km,1156.66,0,NA
default,KOTL,RB,rearing_lake_centerline,km,0,0,NA
default,KOTL,RB,rearing_wetland_centerline,km,0,0,NA
default,NATR,BT,spawning,km,1718.56,1491.79,15.2
default,NATR,BT,rearing,km,3344.89,3071.34,8.91
default,NATR,BT,lake_rearing,ha,19787.07,19458.72,1.69
default,NATR,BT,wetland_rearing,ha,11486.29,10247.16,12.09
default,NATR,BT,rearing_stream,km,3109.94,2486.03,25.1
default,NATR,BT,rearing_lake_centerline,km,0,0,NA
default,NATR,BT,rearing_wetland_centerline,km,0,0,NA
default,NATR,RB,spawning,km,1718.56,0,NA
default,NATR,RB,rearing,km,3551.67,0,NA
default,NATR,RB,lake_rearing,ha,19787.07,0,NA
default,NATR,RB,wetland_rearing,ha,11486.29,0,NA
default,NATR,RB,rearing_stream,km,3316.82,0,NA
default,NATR,RB,rearing_lake_centerline,km,0,0,NA
default,NATR,RB,rearing_wetland_centerline,km,0,0,NA
default,HORS,BT,spawning,km,289.34,285.4,1.38
default,HORS,BT,rearing,km,492.37,646.92,-23.89
default,HORS,BT,lake_rearing,ha,9166.12,9264.81,-1.07
default,HORS,BT,wetland_rearing,ha,1228.27,1280.05,-4.05
default,HORS,BT,rearing_stream,km,414.54,396,4.68
default,HORS,BT,rearing_lake_centerline,km,0,0,NA
default,HORS,BT,rearing_wetland_centerline,km,0,0,NA
default,HORS,CH,spawning,km,181.83,170.81,6.45
