config,wsg,species,habitat_type,unit,link_value,bcfishpass_value,diff_pct
bcfishpass,KOTL,WCT,lake_rearing,ha,0,0,NA
bcfishpass,KOTL,WCT,wetland_rearing,ha,0,899.27,-100
bcfishpass,KOTL,WCT,rearing_stream,km,1139.18,1155.48,-1.41
bcfishpass,KOTL,WCT,rearing_lake_centerline,km,0,0,NA
bcfishpass,KOTL,WCT,rearing_wetland_centerline,km,0,0,NA
bcfishpass,NATR,BT,spawning,km,1514.04,1491.79,1.49
bcfishpass,NATR,BT,rearing,km,3073.39,3071.34,0.07
bcfishpass,NATR,BT,lake_rearing,ha,0,19458.72,-100
bcfishpass,NATR,BT,wetland_rearing,ha,0,10247.16,-100
bcfishpass,NATR,BT,rearing_stream,km,2478.27,2486.03,-0.31
bcfishpass,NATR,BT,rearing_lake_centerline,km,0,0,NA
bcfishpass,NATR,BT,rearing_wetland_centerline,km,0,0,NA
bcfishpass,HORS,BT,spawning,km,288.32,285.4,1.02
bcfishpass,HORS,BT,rearing,km,607.21,646.92,-6.14
bcfishpass,HORS,BT,lake_rearing,ha,0,9264.81,-100
bcfishpass,HORS,BT,wetland_rearing,ha,0,1280.05,-100
bcfishpass,HORS,BT,rearing_stream,km,365.57,396,-7.68
bcfishpass,HORS,BT,rearing_lake_centerline,km,0,0,NA
bcfishpass,HORS,BT,rearing_wetland_centerline,km,0,0,NA
bcfishpass,HORS,CH,spawning,km,170.81,170.81,0
bcfishpass,HORS,CH,rearing,km,242.99,254.75,-4.62
bcfishpass,HORS,CH,lake_rearing,ha,0,0,NA
bcfishpass,HORS,CH,wetland_rearing,ha,0,0,NA
bcfishpass,HORS,CH,rearing_stream,km,166.72,178.8,-6.76
bcfishpass,HORS,CH,rearing_lake_centerline,km,0,0,NA
bcfishpass,HORS,CH,rearing_wetland_centerline,km,0,0,NA
bcfishpass,HORS,CO,spawning,km,258.63,257.13,0.58
bcfishpass,HORS,CO,rearing,km,356.4,373.82,-4.66
bcfishpass,HORS,CO,lake_rearing,ha,0,0.85,-100
bcfishpass,HORS,CO,wetland_rearing,ha,0,1473.43,-100
bcfishpass,HORS,CO,rearing_stream,km,280.13,297.58,-5.86
bcfishpass,HORS,CO,rearing_lake_centerline,km,0,0,NA
bcfishpass,HORS,CO,rearing_wetland_centerline,km,0,0,NA
bcfishpass,HORS,SK,spawning,km,25.66,NA,NA
bcfishpass,HORS,SK,rearing,km,189.46,NA,NA
bcfishpass,HORS,SK,lake_rearing,ha,7906.01,0,NA
bcfishpass,HORS,SK,wetland_rearing,ha,0,0,NA
bcfishpass,HORS,SK,rearing_stream,km,0,NA,NA
bcfishpass,HORS,SK,rearing_lake_centerline,km,0,NA,NA
bcfishpass,HORS,SK,rearing_wetland_centerline,km,0,NA,NA
bcfishpass,LFRA,BT,spawning,km,1259.18,1275.6,-1.29
bcfishpass,LFRA,BT,rearing,km,1753.16,1800.4,-2.62
bcfishpass,LFRA,BT,lake_rearing,ha,0,15169.62,-100
bcfishpass,LFRA,BT,wetland_rearing,ha,0,3387.78,-100
bcfishpass,LFRA,BT,rearing_stream,km,1061.65,1103.05,-3.75
bcfishpass,LFRA,BT,rearing_lake_centerline,km,0,0,NA
bcfishpass,LFRA,BT,rearing_wetland_centerline,km,0,0,NA
bcfishpass,LFRA,CH,spawning,km,818.68,818.01,0.08
bcfishpass,LFRA,CH,rearing,km,1175.57,1176.05,-0.04
bcfishpass,LFRA,CH,lake_rearing,ha,0,0,NA
bcfishpass,LFRA,CH,wetland_rearing,ha,0,0,NA
bcfishpass,LFRA,CH,rearing_stream,km,742.74,745.81,-0.41
bcfishpass,LFRA,CH,rearing_lake_centerline,km,0,0,NA
bcfishpass,LFRA,CH,rearing_wetland_centerline,km,0,0,NA
bcfishpass,LFRA,CM,spawning,km,1145.3,1147.72,-0.21
bcfishpass,LFRA,CM,rearing,km,0,0,NA
bcfishpass,LFRA,CM,lake_rearing,ha,0,0,NA
bcfishpass,LFRA,CM,wetland_rearing,ha,0,0,NA
bcfishpass,LFRA,CM,rearing_stream,km,0,0,NA
bcfishpass,LFRA,CM,rearing_lake_centerline,km,0,0,NA
bcfishpass,LFRA,CM,rearing_wetland_centerline,km,0,0,NA
bcfishpass,LFRA,CO,spawning,km,1157.18,1152.04,0.45
bcfishpass,LFRA,CO,rearing,km,1281,1283.17,-0.17
bcfishpass,LFRA,CO,lake_rearing,ha,0,0,NA
bcfishpass,LFRA,CO,wetland_rearing,ha,0,3345.06,-100
bcfishpass,LFRA,CO,rearing_stream,km,848.18,851.94,-0.44
bcfishpass,LFRA,CO,rearing_lake_centerline,km,0,0,NA
bcfishpass,LFRA,CO,rearing_wetland_centerline,km,0,0,NA
bcfishpass,LFRA,PK,spawning,km,1145.3,1147.72,-0.21
bcfishpass,LFRA,PK,rearing,km,0,0,NA
bcfishpass,LFRA,PK,lake_rearing,ha,0,0,NA
bcfishpass,LFRA,PK,wetland_rearing,ha,0,0,NA
bcfishpass,LFRA,PK,rearing_stream,km,0,0,NA
bcfishpass,LFRA,PK,rearing_lake_centerline,km,0,0,NA
bcfishpass,LFRA,PK,rearing_wetland_centerline,km,0,0,NA
bcfishpass,LFRA,SK,spawning,km,83.07,82.88,0.23
bcfishpass,LFRA,SK,rearing,km,311.08,311.08,0
bcfishpass,LFRA,SK,lake_rearing,ha,12737.74,12737.74,0
bcfishpass,LFRA,SK,wetland_rearing,ha,0,0,NA
bcfishpass,LFRA,SK,rearing_stream,km,0,0,NA
bcfishpass,LFRA,SK,rearing_lake_centerline,km,0,0,NA
bcfishpass,LFRA,SK,rearing_wetland_centerline,km,0,0,NA
bcfishpass,LFRA,ST,spawning,km,826.23,825.7,0.06
bcfishpass,LFRA,ST,rearing,km,1289.96,1292.87,-0.23
bcfishpass,LFRA,ST,lake_rearing,ha,0,0,NA
bcfishpass,LFRA,ST,wetland_rearing,ha,0,2496.48,-100
bcfishpass,LFRA,ST,rearing_stream,km,850.72,855.85,-0.6
bcfishpass,LFRA,ST,rearing_lake_centerline,km,0,0,NA
bcfishpass,LFRA,ST,rearing_wetland_centerline,km,0,0,NA
bcfishpass,VICT,CH,spawning,km,53.55,52.23,2.53
bcfishpass,VICT,CH,rearing,km,99.95,98.93,1.03
bcfishpass,VICT,CH,lake_rearing,ha,0,0,NA
bcfishpass,VICT,CH,wetland_rearing,ha,0,0,NA
bcfishpass,VICT,CH,rearing_stream,km,99.12,98.1,1.04
bcfishpass,VICT,CH,rearing_lake_centerline,km,0,0,NA
bcfishpass,VICT,CH,rearing_wetland_centerline,km,0,0,NA
bcfishpass,VICT,CM,spawning,km,120.51,117.91,2.21
bcfishpass,VICT,CM,rearing,km,0,0,NA
bcfishpass,VICT,CM,lake_rearing,ha,0,0,NA
bcfishpass,VICT,CM,wetland_rearing,ha,0,0,NA
bcfishpass,VICT,CM,rearing_stream,km,0,0,NA
bcfishpass,VICT,CM,rearing_lake_centerline,km,0,0,NA
bcfishpass,VICT,CM,rearing_wetland_centerline,km,0,0,NA
bcfishpass,VICT,CO,spawning,km,120.81,117.62,2.71
bcfishpass,VICT,CO,rearing,km,132.04,130.58,1.12
bcfishpass,VICT,CO,lake_rearing,ha,0,0,NA
bcfishpass,VICT,CO,wetland_rearing,ha,0,78.88,-100
bcfishpass,VICT,CO,rearing_stream,km,131.21,129.11,1.63
bcfishpass,VICT,CO,rearing_lake_centerline,km,0,0,NA
bcfishpass,VICT,CO,rearing_wetland_centerline,km,0,0,NA
bcfishpass,VICT,ST,spawning,km,57.47,56.15,2.35
bcfishpass,VICT,ST,rearing,km,115.64,115.41,0.2
bcfishpass,VICT,ST,lake_rearing,ha,0,0,NA
bcfishpass,VICT,ST,wetland_rearing,ha,0,0,NA
bcfishpass,VICT,ST,rearing_stream,km,114.81,113.93,0.77
bcfishpass,VICT,ST,rearing_lake_centerline,km,0,0,NA
bcfishpass,VICT,ST,rearing_wetland_centerline,km,0,0,NA
bcfishpass,LILL,BT,spawning,km,664.89,667.75,-0.43
bcfishpass,LILL,BT,rearing,km,947.34,953.99,-0.7
bcfishpass,LILL,BT,lake_rearing,ha,0,4666.93,-100
bcfishpass,LILL,BT,wetland_rearing,ha,0,1230.39,-100
bcfishpass,LILL,BT,rearing_stream,km,467.41,475.01,-1.6
bcfishpass,LILL,BT,rearing_lake_centerline,km,0,0,NA
bcfishpass,LILL,BT,rearing_wetland_centerline,km,0,0,NA
bcfishpass,LILL,CH,spawning,km,455.93,455.79,0.03
bcfishpass,LILL,CH,rearing,km,517.32,519.7,-0.46
bcfishpass,LILL,CH,lake_rearing,ha,0,0,NA
bcfishpass,LILL,CH,wetland_rearing,ha,0,0,NA
bcfishpass,LILL,CH,rearing_stream,km,181.46,185.89,-2.38
bcfishpass,LILL,CH,rearing_lake_centerline,km,0,0,NA
bcfishpass,LILL,CH,rearing_wetland_centerline,km,0,0,NA
bcfishpass,LILL,CM,spawning,km,527.21,531.13,-0.74
bcfishpass,LILL,CM,rearing,km,0,0,NA
bcfishpass,LILL,CM,lake_rearing,ha,0,0,NA
bcfishpass,LILL,CM,wetland_rearing,ha,0,0,NA
bcfishpass,LILL,CM,rearing_stream,km,0,0,NA
bcfishpass,LILL,CM,rearing_lake_centerline,km,0,0,NA
